Country,Code,Meningitis,Alzheimer's disease and other dementias,Parkinson's disease,Nutritional deficiencies,Malaria,Drowning,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug use disorders,Tuberculosis,Cardiovascular diseases,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Self-harm,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings,Protein-energy malnutrition,Road injuries,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,"Fire, heat, and hot substances",Acute hepatitis
Uganda,UGA,3941,1854,417,3937,22587,751,2378,2121,20762,46,13886,28149,16497,30955,261,2167,0,10955,152,21648,61,5033,3386,545,3824,5563,5480,5189,9155,616,390
Ukraine,UKR,399,16370,3586,139,0,3436,5279,81,6643,1477,4043,449376,8734,1305,7716,13690,0,83,2733,99218,227,2821,2660,1539,67,6980,12181,20141,30240,2198,72
United Arab Emirates,ARE,54,138,90,7,0,174,87,12,160,805,119,8621,599,83,76,664,0,60,12,5473,0,1325,1433,42,3,3833,1778,506,734,190,69
United Kingdom,GBR,265,32425,7906,159,0,300,339,40,233,2654,390,188113,41877,1484,1762,5618,0,1419,128,195999,2,6368,7776,135,118,2696,51879,10031,33215,383,22
United States,USA,1146,143919,32211,6090,0,3615,17709,990,7053,65717,978,957455,81921,10994,14044,45349,105,11727,1378,773895,31,77719,106954,1528,5710,41362,224988,67286,129343,3616,131
United States Virgin Islands,VIR,0,29,14,4,0,5,26,0,8,2,1,501,25,4,12,9,0,1,1,330,0,80,52,0,4,15,31,33,57,2,0
Uruguay,URY,14,1497,349,134,0,71,212,10,177,16,56,10003,1595,148,111,666,0,166,6,10084,0,895,989,16,104,560,2155,471,1546,67,1
Uzbekistan,UZB,175,1119,544,41,0,1597,974,228,585,188,2445,107394,10787,5257,156,3793,0,161,178,22338,0,8154,3971,368,9,4929,3837,13042,15019,684,130
Vanuatu,VUT,6,19,13,12,1,32,3,8,19,1,41,869,113,69,4,51,0,68,1,225,0,127,70,2,12,67,172,49,92,4,3
Venezuela,VEN,254,6313,1119,552,667,524,10944,497,1850,90,826,61510,5555,3338,188,2310,0,1418,11,34771,0,10795,10405,82,527,6207,7062,4692,8601,196,21
Vietnam,VNM,747,19460,4259,954,59,6098,1267,234,6399,1176,18681,240161,21345,6468,1000,8114,5,1672,82,112564,0,29391,21485,935,95,24153,36229,23637,31306,608,674
Yemen,YEM,479,1731,413,1010,5089,843,820,1705,347,261,1029,55752,6289,18982,82,1560,0,6614,43,12681,13402,1815,2676,450,941,11717,5738,2786,4877,839,523
Zambia,ZMB,2065,763,203,1899,4777,359,1616,804,22540,60,7056,18157,8190,9851,137,1398,4,7224,84,9789,1,2573,1931,309,1828,2285,2388,4593,6528,326,263
Zimbabwe,ZWE,1450,812,232,2884,2068,827,1434,1294,20722,127,10465,17810,12897,8609,53,2403,660,4635,37,12353,11,3460,2292,405,2855,2554,2891,2065,4437,662,136
